area,corr,year
Vibgyor High School,"('74.1424757', '14.8143303')",2023
Thubarahalli,"('77.693831', '12.9752322')",2023
Bellandur,"('77.5801705', '13.044455')","2023, 2022, 2020, 2017"
Vidyapeeta,"('77.5909732', '12.9870786')",2023
Mahadevapura,"('77.5508566', '12.9780004')","2023, 2022, 2017"
RR Nagar,"('77.5889783', '12.8565752')","2023, 2022"
Yelahanka,"('77.56841942535517', '13.00847585')","2023, 2022, 2021, 2017"
K.R. Circle,"('77.56841942535517', '13.00847585')",2023
RT Nagar,"('77.6416454', '13.0313009')",2023
Malleshwaram,"('76.7591593', '15.7710905')",2023
Kumara Krupa road,"('77.6020901', '12.9857716')",2023
Windson Manor junction,"('77.7125997', '12.989294')",2023
Mahalakshmi Layout,"('77.715452', '13.004324')",2023
Malleswaram,"('77.51517507386716', '13.05402415')",2023
Jayanagar,"('77.4678263', '13.0711648')","2023, 2017"
Kengeri,"('77.6369934', '12.9672483')",2023
Uttarahalli,"('77.5927881', '13.0216774')",2023
Nagarabhavi,"('77.5302683', '12.9639998')",2023
Nayandahalli,"('76.66378575590485', '12.2966686')","2023, 2020"
Roopena Agrahara,"('76.7506501', '15.7637439')",2023
Haralur Junction (Hosur Road),"('76.7520702', '15.7533595')",2023
Nagarjuna Junction (Bannerghatta Road),"('77.5887591', '12.9924013')",2023
Anil Kumble Circle,"('77.6123853', '12.9335528')",2023
MG Road,"('77.6275572', '12.9380609')",2023
Kalyan Nagar Bridge,"('77.5956872', '12.9718199')",2023
Seshadripuram Railway Underpass,"('77.7385892', '12.9645687')",2023
Hennur Junction,"('77.6107974', '12.9364493')",2023
Airport Road,"('77.7395929', '12.9649443')",2023
Dakshina Kannada,"('77.48779614365152', '12.92663665')","2023, 2020"
Uttara Kannada,"('77.5982253292604', '13.05256295')","2023, 2020, 2019"
Chikkamagaluru,"('77.6968987', '12.9977491')","2023, 2021, 2019"
Udupi,"('77.5789851', '12.9843016')","2023, 2020, 2019, 2017"
Kodagu,"('77.6035786624781', '12.96600055')","2023, 2020, 2019"
Manyata Tech Park,"('77.6869852', '12.9362604')","2023, 2021"
KR Puram,"('77.12575353955212', '13.31984245')","2023, 2017"
Vignan Nagar,"('77.57287830527198', '13.0163998')",2023
ITPB main road,"('77.6379593', '12.9118695')",2023
Tin factory,"('77.5933427', '12.9873351')",2023
HAL second stage,"('77.55077442029616', '13.00169515')",2023
Doddanekkundi,"('77.4697494', '13.0677055')",2023
Ramangaondanahalli,"('77.48593515983956', '13.0180855')",2023
Gangothri Road,"('77.5714407051282', '12.97406745')",2023
Hennur Road,"('77.4646153', '13.0696313')",2023
Yemalur,"('77.53426374072305', '13.0137137')","2023, 2022"
Horamavu,"('77.5454603106383', '13.0181452')","2023, 2022, 2016"
Vidyapeeta circle,"('74.3186042', '14.543331')",2023
Marathahalli,"('77.5874287', '12.985994')",2023
Varthur,"('77.60311172230354', '13.01582965')",2023
Whitefield,"('77.6361981', '13.0142127')","2023, 2022, 2020, 2017"
Bengaluru,"('77.6361981', '13.0142127')","2023, 2022, 2017"
Old Mysuru region,"('77.65182013070856', '12.99983695')",2023
Channasandra Main Road,"('77.6216859', '12.9957321')",2022
Chickaballapur,"('77.69890984331862', '13.01706845')",2022
Hoskote,"('77.4668409', '13.0669869')","2022, 2017"
Kadugodi,"('77.73084140109938', '12.998785550000001')","2022, 2017"
Sarjapur,"('77.4732488', '13.0710665')","2022, 2017"
Malur,"('77.6966198', '12.9968187')",2022
K.R. Puram,"('77.67209432914066', '12.98365165')",2022
Vidyaranyapura,"('77.65822245063211', '12.976715500000001')",2022
Divyasree 77 degree East,"('77.5718337', '12.9972964')",2022
Channasandra,"('77.61629387932427', '13.005329750000001')",2022
Mandous,"('77.57134748214916', '12.974109349999999')",2022
Hope Farm Junction,"('77.59935333542838', '13.0063072')",2022
Sarjapura Road,"('77.59447566034862', '12.9948554')",2022
Outer Ring Road,"('77.57112227432127', '12.9741173')","2022, 2017"
BEML Layout,"('77.5712696511327', '12.97405675')",2022
Adugodi,"('77.55724114124203', '13.0080089')","2022, 2016"
Koramangala,"('77.5967451', '12.9064639')","2022, 2020, 2018, 2017, 2016"
Devara Jeevanahalli,"('77.54032965603167', '13.00687395')",2022
Fayazabad,"('77.52377154983145', '13.0077118')",2022
Ganesh Mandir ward,"('77.51135400638464', '13.00675215')",2022
Chikkansandra Ward,"('77.50176495237946', '12.99940895')",2022
Uttarahalli area,"('77.48315345018108', '12.98227705')",2022
Old Airport Road,"('77.549332', '13.001366')","2022, 2017"
IT corridor and the adjoining areas from east Bengaluru along the ORR to south-east Bengaluru,"('77.52895851196467', '12.99539855')",2022
Mandya,"('77.7289665', '12.9792496')","2022, 2013"
Bommanahalli,"('77.5462411', '12.9278495')","2022, 2020, 2017"
Dasarahalli,"('77.57484572435891', '12.99757915')",2022
south zone,"('77.6692897', '12.9960418')",2022
east zone,"('77.57112772509484', '12.9743618')",2022
west zone,"('77.63765708339531', '12.97802595')",2022
Kumbalgodu,"('77.57136319108349', '12.974298000000001')",2022
Inorupalya,"('77.57061470288866', '12.9744378')",2022
Channapatna,"('77.57073762168896', '12.9743646')",2022
Bangalore,"('77.6051643', '12.9753625')","2021, 2013"
Kendriya Vihar Apartment,"('77.57058530237023', '12.97426385')",2021
Pavani Residency,"('77.69466132829234', '12.95308455')",2021
Belgaum,"('77.4880192', '12.9886463')","2021, 2019, 2017"
Hubballi city,"('77.6986195', '12.9483065')",2021
Kadur,"('77.63378071643349', '12.97326665')",2021
Davanagere,"('77.57086094692917', '12.97394675')",2021
Dandeli,"('77.61253029513134', '12.9874778')",2021
Alur,"('77.631347719084', '12.7791307')",2021
Lakshmeshwar,"('77.5708911771162', '12.97415215')",2021
Tarikere,"('77.57092522711865', '12.974129099999999')",2021
Mundagod,"('77.56953949797777', '12.98266705')",2021
Supa,"('77.5642294415321', '12.98204705')",2021
Hubballi,"('77.56451930692046', '12.99102465')","2021, 2019"
Bhadravati,"('77.55974719880484', '12.9906299')",2021
Channagiri,"('77.5501187855015', '12.9947003')",2021
Annigere,"('77.54211615205959', '12.9911311')",2021
Babaleshwar,"('77.53339580996752', '12.9866685')",2021
Nidagundi,"('77.57083041004228', '12.974216049999999')",2021
Kolhar,"('77.68645', '12.931753')",2021
Muddebihal,"('77.53614337049832', '12.9777644')",2021
Harapanahalli,"('77.592916', '12.9584871')",2021
Hosanagar,"('77.48722184117798', '13.017599650000001')",2021
Mudigere,"('77.6063086', '12.9106552')",2021
Coastal districts of the State,"('77.55460871207339', '12.9839931')",2021
regions of the Krishna and the Cauvery basins,"('77.5775301', '12.9701392')",2021
