area,corr,year
Kanyakumari,"('80.270186', '13.0836939')","2024, 2021, 2020, 2018"
Tirunelveli,"('80.1719983', '12.957656100000001')","2024, 2020, 2017, 2016"
Thoothukudi,"('80.1395346383895', '13.11971825')","2024, 2017, 2016"
Thenkasi,"('80.1707452', '12.9568448')",2024
Chennai,"('80.2655215', '13.051559650000002')","2024, 2022, 2021, 2020, 2018, 2017, 2016, 2015"
Tambaram,"('80.21416249653154', '12.9606842')","2024, 2021, 2020"
Maduravoyal,"('80.2498155', '13.0086025')","2024, 2021"
Ambattur,"('80.13266935076462', '12.92394895')","2024, 2021, 2020"
Vadapalani,"('80.23285815789181', '13.05502745')","2024, 2021"
Nungambakkam,"('80.1869007', '12.9586436')","2024, 2021"
Adyar,"('80.12469415704207', '13.05322125')","2024, 2021"
Velachery,"('80.1872299', '12.9599543')","2024, 2021, 2020, 2017, 2014"
Koyambedu,"('80.18935375000001', '13.06108785')","2024, 2021, 2020"
Anna Nagar,"('80.270186', '13.0836939')","2024, 2020"
Kundrathur,"('80.1698754', '13.0817972')",2024
Perungudi,"('80.270186', '13.0836939')","2024, 2021, 2018"
Manali,"('80.25272803845274', '13.0822967')","2024, 2021, 2020"
Karapakkam,"('80.1875881', '12.9637052')","2024, 2021"
Thiruvanmiyur,"('80.27958165224273', '13.0379322')","2024, 2021"
Ponneri,"('80.1241013', '13.1056768')","2024, 2021"
Pallavaram,"('80.23233434471392', '13.0545637')","2024, 2020"
Thiruporur,"('80.25324534926989', '13.04050125')",2024
Chengalpattu,"('80.270186', '13.0836939')","2024, 2022, 2021"
Sriperumbudur,"('80.18802944999999', '12.96397725')","2024, 2021"
Tiruttani,"('80.27961164999999', '13.03897405')",2024
Arani,"('80.18726007455604', '12.957278500000001')",2024
Kanchipuram,"('78.669549', '10.785666')","2024, 2022, 2021, 2017, 2016, 2015"
Tiruvallur,"('80.19517776128276', '13.126477999999999')","2024, 2022, 2021, 2020, 2018, 2017, 2016, 2015"
Tiruvannamalai,"('80.2288468', '13.0393687')","2024, 2021"
Vellore,"('-100.4691869', '25.7867634')","2024, 2021"
Krishnagiri,"('77.6621218', '12.921635')",2024
Dharmapuri,"('80.2704334', '13.0269601')","2024, 2020, 2018"
Salem,"('-100.4691869', '25.7867634')","2024, 2020, 2018"
Namakkal,"('80.2263695', '12.844863')","2024, 2020, 2018"
Erode,"('77.6551359', '13.0202407')","2024, 2020, 2018"
Coimbatore,"('80.22291325272698', '13.0234132')","2024, 2020, 2018"
Nilgiris,"('80.2293471', '13.0392265')",2024
Dindigul,"('77.5848341', '13.0227583')","2024, 2022, 2021, 2020, 2017, 2016"
Theni,"('77.527626', '13.0350984')","2024, 2022, 2021, 2017, 2016"
Pudukkottai,"('80.270186', '13.0836939')","2024, 2022, 2021, 2020, 2017, 2016"
Virudhunagar,"('77.4922828', '13.0505931')","2024, 2022, 2021, 2020, 2017, 2016"
Ramanathapuram,"('80.26272427781385', '13.08365875')","2024, 2022, 2021, 2020, 2017, 2016"
Tuticorin,"('80.270186', '13.0836939')","2024, 2021, 2020"
North Chennai,"('-100.4691869', '25.7867634')","2024, 2021, 2015"
South Chennai,"('80.270186', '13.0836939')","2024, 2015"
Punnaikayal village,"('-100.4691869', '25.7867634')",2024
Serntha Poomangalam,"('80.18581311974307', '12.953127649999999')",2024
Tuticorin city,"('80.270186', '13.0836939')",2024
Chennai and surrounding districts,"('80.24177391647986', '12.9505575')",2024
Tamil Nadu,"('80.252718', '13.0048641')","2024, 2022, 2021, 2020, 2018, 2016, 2015"
India,"('80.270186', '13.0836939')","2024, 2022, 2016, 2015"
Chennai city and suburbs,"('80.270186', '13.0836939')","2024, 2022, 2021, 2019, 2017, 2016, 2015"
Kancheepuram,"('80.3005235', '13.1116462')","2024, 2021, 2020, 2018, 2016, 2015"
T Nagar,"('-100.4691869', '25.7867634')",2024
Ko rattur,"('-100.4691869', '25.7867634')",2024
Cuddalore,"('80.23195518232706', '13.03919355')","2022, 2021, 2020, 2018, 2017, 2016, 2015"
Villupuram,"('80.270186', '13.0836939')","2022, 2017, 2016, 2015"
Nagapattinam,"('80.1964992860766', '12.6234544')","2022, 2021, 2020, 2017, 2016"
Thanjavur,"('80.270186', '13.0836939')","2022, 2021, 2020, 2017, 2016"
Tiruvarur,"('80.1570042', '13.1280024')","2022, 2017, 2016"
Sivaganga,"('80.270186', '13.0836939')","2022, 2021, 2020, 2017, 2016"
Madurai,"('80.23194610344947', '13.0399489')","2022, 2020, 2017, 2016"
and Tirunelveli districts,"('80.18651', '12.9602888')",2022
Puducherry,"('80.270186', '13.0836939')","2022, 2020"
Andhra Pradesh,"('80.1870856', '12.961267')",2022
23 districts,"('77.6536672', '12.9241587')",2022
Iyyappanthangal,"('80.270186', '13.0836939')",2022
Moulivakkam,"('80.30835', '13.1832459')","2022, 2016"
Dhanalakshmi Nagar,"('80.1649232', '13.080904')",2022
Sai Nagar,"('80.270186', '13.0836939')",2022
Ponniamman Nagar,"('80.270186', '13.0836939')",2022
Kanyakumari District,"('80.270186', '13.0836939')",2021
Ranipet,"('-100.4691869', '25.7867634')",2021
S Kolathur,"('80.270186', '13.0836939')",2021
Narayanapuram,"('-100.4691869', '25.7867634')",2021
Pallikaranai,"('80.270186', '13.0836939')",2021
Tiruvannamalai districts,"('80.09749832738854', '12.9999129')",2021
Palikarnai,"('80.1838470493771', '13.0872529')",2021
Ambattur Industrial Estate,"('80.2283062', '13.0378912')",2021
Chennai city,"('-100.4691869', '25.7867634')","2021, 2016"
Chengalpattu district,"('77.5861383', '13.027822')",2021
Kancheepuram district,"('-100.4691869', '25.7867634')","2021, 2016"
Tiruvallur district,"('80.270186', '13.0836939')","2021, 2016"
Kilpauk,"('80.270186', '13.0836939')",2021
Sholinganallur,"('80.270186', '13.0836939')","2021, 2020"
Thiruvallur,"('80.270186', '13.0836939')",2021
Ariyalur,"('80.1855413', '13.0946251')","2021, 2020"
Ramnad,"('80.270186', '13.0836939')",2021
Perambalur,"('77.6988272', '12.948404')",2020
Tiruchirappalli,"('80.05922815794199', '12.843118050000001')",2020
The Nilgiris,"('77.6999246', '12.9504549')",2020
Karur,"('80.270186', '13.0836939')","2020, 2018"
Baba Nagar,"('77.7006739', '12.9692353')",2020
Srinivasa Nagar,"('-100.4691869', '25.7867634')",2020
Senthil Nagar,"('80.270186', '13.0836939')",2020
Mudichur,"('-100.4691869', '25.7867634')",2020
Perungalathur,"('80.270186', '13.0836939')",2020
Chrompet,"('-100.4691869', '25.7867634')",2020
Kolathur,"('80.270186', '13.0836939')",2020
LB road,"('80.270186', '13.0836939')",2020
Taramani,"('80.270186', '13.0836939')",2020
Periamet,"('80.270186', '13.0836939')",2020
Pattalam,"('77.6803833', '12.9261691')",2020
Kosapet,"('77.68645', '12.931753')",2020
Thiruvottiyur,"('80.270186', '13.0836939')",2020
Chintadripet,"('80.270186', '13.0836939')",2020
Perambur,"('80.20321130109107', '12.7398846')",2020
Karukku Main Road,"('80.270186', '13.0836939')",2020
Anna Main Road in KK Nagar,"('80.270186', '13.0836939')",2020
MGR Nagar,"('80.270186', '13.0836939')",2020
GST Road,"('80.16791853798452', '13.031222450000001')",2020
Chitlapakkam,"('-100.4691869', '25.7867634')",2020
Mylapore,"('77.6423147', '12.8924692')","2020, 2017"
Anna University,"('80.270186', '13.0836939')",2020
Redhills Lake,"('80.270186', '13.0836939')",2020
Chennai district,"('80.270186', '13.0836939')",2020
Alandur,"('80.16138829932243', '13.0427273')",2020
Thazambur,"('80.270186', '13.0836939')",2020
Nookampalayam Road,"('80.270186', '13.0836939')",2020
Ottiyambakkam,"('80.270186', '13.0836939')",2020
Mambalam,"('80.270186', '13.0836939')",2020
K.K. Nagar,"('80.270186', '13.0836939')",2020
T. Nagar,"('-100.4691869', '25.7867634')",2020
Santhome,"('80.2556935', '12.9878328')","2020, 2014"
Vepery,"('-100.4691869', '25.7867634')",2020
Guindy,"('-100.4691869', '25.7867634')",2020
Madipakkam,"('-100.4691869', '25.7867634')",2020
Adambakkam,"('79.8073951', '11.9309984')",2020
Adyar river,"('-100.4691869', '25.7867634')",2020
Padi,"('80.270186', '13.0836939')",2020
Annai Indra nagar,"('80.270186', '13.0836939')",2020
Balakrishna Nagar,"('80.270186', '13.0836939')",2020
V.G.P. Selva nagar,"('-100.4691869', '25.7867634')",2020
Tansi nagar,"('80.270186', '13.0836939')",2020
Ram Nagar,"('80.270186', '13.0836939')",2020
Dhandeeswaram,"('80.270186', '13.0836939')",2020
Udayam Colony,"('80.270186', '13.0836939')",2020
Irumbuliyur,"('80.270186', '13.0836939')",2020
Medavakkam,"('80.270186', '13.0836939')",2020
Tiruporur,"('80.1897943', '13.0932135')",2020
Kotturpuram,"('80.0494621', '12.8311571')",2020
Boat Club,"('80.270186', '13.0836939')",2020
Egmore,"('80.270186', '13.0836939')",2020
R.K. Nagar,"('80.270186', '13.0836939')",2020
Korukkupet,"('80.270186', '13.0836939')",2020
Vyasarpadi,"('-100.4691869', '25.7867634')",2020
Anna Salai,"('80.270186', '13.0836939')","2020, 2018"
E.V.R. Salai,"('80.270186', '13.0836939')",2020
Kamarajar Road,"('80.270186', '13.0836939')",2020
Nungambakkam High Road,"('77.6361865', '12.9165359')","2020, 2018"
100 Feet Road,"('77.6888055', '12.9368715')",2020
East Coast Road,"('80.0494621', '12.8311571')",2020
Thiruvottiyur High Road,"('80.270186', '13.0836939')",2020
Avadi Poonamallee road,"('80.270186', '13.0836939')",2019
Tuticorin and Tirunelveli districts,"('80.270186', '13.0836939')",2018
MRC Nagar,"('77.6426066', '12.918568')",2018
Srinagar Colony,"('77.6426152', '12.9184367')",2018
CIT Nagar,"('80.270186', '13.0836939')",2018
Dr. Besant Road,"('80.2236256', '13.0929667')",2018
Avvai Shanmugham Salai,"('80.270186', '13.0836939')",2018
Dr. R.K. Salai,"('80.270186', '13.0836939')",2018
and Kanyakumari districts,"('80.270186', '13.0836939')","2017, 2016"
Chennai metropolitan region,"('80.270186', '13.0836939')",2017
Gengu Reddy subway,"('80.270186', '13.0836939')",2017
LB Road,"('80.270186', '13.0836939')",2017
Taramani Link Road,"('80.18775085', '12.949897')",2017
Babu Street,"('80.270186', '13.0836939')",2020
Abraham Lincoln Street,"('80.270186', '13.0836939')",2020
Pamban Swamigal Street,"('80.13694918397064', '12.92370335')",2020
Chokkanadhar Street,"('80.22742474841327', '12.875376')",2020
Maraimalai Adigal Street,"('80.270186', '13.0836939')",2020
Balaji Avenue,"('80.270186', '13.0836939')",2020
Shanthi Avenue,"('80.24418428429072', '13.011880999999999')",2020
Nazeeb Avenue,"('80.15380379848409', '12.91290925')",2020
Ramakrishnapuram,"('80.270186', '13.0836939')",2020
Mahalakshmi Nagar Main Road,"('80.270186', '13.0836939')",2017
Ambedkar Road,"('77.6983028', '12.94396485')",2017
Mudichur Road,"('80.270186', '13.0836939')",2017
Krishna Nagar,"('80.270186', '13.0836939')",2017
Sriram Nagar,"('80.270186', '13.0836939')",2017
Vetri Nagar,"('80.270186', '13.0836939')",2017
CTO Colony,"('80.270186', '13.0836939')",2017
Old Perungalathur,"('80.270186', '13.0836939')",2017
PTC Nagar,"('80.270186', '13.0836939')",2017
Royappa Nagar,"('80.270186', '13.0836939')",2017
Agaram Road,"('80.270186', '13.0836939')",2017
Nanganallur,"('-100.4691869', '25.7867634')",2017
and Kanyakumari,"('80.270186', '13.0836939')",2016
Chennai and surrounding districts in the southern Indian state of Tamil Nadu,"('80.270186', '13.0836939')",2016
Vellore district,"('80.270186', '13.0836939')",2016
OMR stretch,"('77.6242849', '12.9179053')",2015
Sri Lanka,"('80.270186', '13.0836939')",2015
Palani,"('80.270186', '13.0836939')",2014
Oddanchatram,"('80.270186', '13.0836939')",2014
Besant Nagar,"('-100.4691869', '25.7867634')",2014
