area,corr,year
Delhi,"('76.13268085658294', '28.0612658')","2023, 2021, 2020, 2019, 2016"
Haryana,"('77.2922764', '28.5433298')","2023, 2021, 2020"
Uttarakhand,"('77.2189047', '28.6349355')",2023
"""Monks Market""","('77.2200797', '28.6346627')",2023
Punjabi Bagh,"('77.240459', '28.5660944')","2023, 2019"
Okhla,"('77.240439', '28.5661682')","2023, 2019"
Kamla Nagar,"('77.2403929', '28.5662597')","2023, 2019"
Gurgaon,"('77.2393712', '28.55434785')",2023
Noida,"('77.217038', '28.6337914')",2023
East Delhi,"('77.2424164', '28.5849068')","2023, 2022"
North Delhi,"('77.24225935360825', '28.584975399999998')","2023, 2022"
Northeast Delhi,"('77.09132745', '28.663600799999998')","2023, 2022"
Southeast Delhi,"('77.1447059', '28.6813945')","2023, 2022"
Central Delhi,"('77.2169575', '28.6336342')",2023
Shahdara District,"('77.2204417', '28.6341831')",2023
Uttar Pradesh,"('77.0911281', '28.6638226')","2023, 2020"
Ghaziabad,"('77.09103429648368', '28.66383285')",2023
Sonia Vihar,"('77.24153895255881', '28.580444800000002')",2023
Badarpur,"('77.24153895255881', '28.580444800000002')","2023, 2019"
Yamuna Bazar,"('77.2166944', '28.6332625')","2023, 2013"
near Yamuna bank,"('77.2016888', '28.5515485')",2023
Himachal Pradesh,"('77.2206807', '28.6345826')",2023
Punjab,"('77.2183109', '28.6346813')","2023, 2020"
Rajasthan,"('77.1628755', '28.7268842')","2023, 2021"
Jammu and Kashmir,"('77.09028309648369', '28.66392605')",2023
and Delhi,"('77.0901893', '28.6639352')",2023
Mayur Vihar,"('77.09009676967233', '28.66394775')",2023
Shastri Nagar,"('77.09000035', '28.6639638')",2023
Najafgarh,"('77.08988307317156', '28.6639855')","2023, 2021, 2019"
Gandhi Nagar,"('77.08978794999999', '28.663996949999998')","2023, 2019"
Narela,"('77.08969284649953', '28.66400835')","2023, 2019"
Rohini,"('77.3052369', '28.636034')","2023, 2019"
Krishna Nagar,"('77.2511438', '28.5489497')",2023
Sultanpur Majra,"('77.2511438', '28.5489497')","2023, 2019"
Dhani Nagar,"('77.2491859', '28.56507725')",2023
Shakurpur,"('77.2200792', '28.6342911')","2023, 2019"
Mundka,"('77.2166213', '28.6327615')","2023, 2019"
Janakpuri,"('77.08916055', '28.664077550000002')","2023, 2019"
Pitampura,"('77.08910195', '28.66408555')","2023, 2019"
Rajouri Garden,"('77.08904329638375', '28.66409125')","2023, 2019"
Kirti Nagar,"('77.19793609955357', '28.64766645')","2023, 2019"
Greater Kailash,"('77.1731899', '28.7195588')","2023, 2019"
Malviya Nagar,"('77.08884387382291', '28.6641176')","2023, 2021"
South Extension,"('77.08877344999999', '28.66413365')",2023
Green Park,"('77.08869900361626', '28.66414285')",2023
Chanakyapuri,"('77.08862725', '28.66415195')","2023, 2021"
Vasant Vihar,"('77.08854645', '28.6641611')","2023, 2019"
Saket,"('77.08901095350046', '28.66384285')",2023
Kalkaji,"('77.08910455350048', '28.66383405')",2023
Nangloi,"('77.08919704649952', '28.66382485')","2023, 2019"
Dwarka,"('77.08929215', '28.66381345')","2023, 2019"
Palam,"('77.2514207', '28.5491829')",2023
Rohtak Road,"('77.2514207', '28.5491829')",2023
Delhi Cantt,"('77.08957882682843', '28.6637803')",2023
Patel Nagar,"('77.2190751', '28.6349683')",2023
Lajpat Nagar,"('77.1624585', '28.7256287')",2023
Sarojini Nagar,"('77.1999808', '28.5071922')",2023
Chandni Chowk,"('77.0827759', '28.6205702')","2023, 2021"
Jama Masjid,"('77.09019515', '28.663700249999998')",2023
Karol Bagh,"('77.2171659', '28.6339659')",2023
Paharganj,"('77.0903828', '28.6636774')",2023
Connaught Place,"('77.0904740035163', '28.66365455')",2023
ITO,"('77.0905678', '28.6636431')","2023, 2022"
Ring Road,"('77.0906603', '28.6636328')",2023
Outer Ring Road,"('77.09075544649951', '28.66362135')",2023
Delhi-Gurgaon Expressway,"('77.09085054649952', '28.66361105')",2023
Delhi-Meerut Expressway,"('77.11127485827147', '28.7367187')",2023
Supreme Court,"('77.1633115', '28.7262663')",2023
Jamia Nagar,"('77.09057562331087', '28.66344985')",2023
South Delhi,"('77.1626224', '28.7254098')","2023, 2022"
Mayur Vihar Phase I,"('77.0903893', '28.6634693')",2022
Akshardham Temple,"('77.0902968', '28.66347845')",2022
West Delhi,"('77.09020425', '28.66348875')","2022, 2021"
Delhi-Noida highway,"('77.2559495', '28.545442')",2022
Khadar fields in Delhi and Ghaziabad,"('77.08977167317157', '28.6635402')",2022
Delhi Airport,"('77.08968044649953', '28.66355045')",2021
Anand Parbat,"('77.08958664649953', '28.663560750000002')",2021
New Delhi,"('77.08949415350048', '28.66357565')",2021
Connaught Place market,"('77.08940292682843', '28.6635905')",2021
Lajpat Nagar Metro Station,"('77.08931040351632', '28.66360425')",2021
Lala Lajpat Rai Marg,"('77.0892166', '28.6636145')",2021
Mool Chand bus stand,"('77.08912276967234', '28.663627050000002')",2021
Aurbindo Marg near AIIMS flyover,"('77.08902894649952', '28.663637350000002')",2021
areas near Jungpura metro station,"('77.0882156', '28.663724950000002')",2021
Ring Road from AIIMS to Mool Chand,"('77.0882313', '28.66381115')",2021
several areas in south Delhi,"('77.08824571624365', '28.663895099999998')",2021
including Saket,"('77.0882628', '28.663977850000002')",2021
Press Enclave,"('77.0882772', '28.66406065')",2021
Ring Road Hayyat Hotel,"('77.08828765000001', '28.66414685')",2021
both sides of Savatri Flyover,"('77.0883034', '28.66423195')",2021
Maharani Bagh Nizamudin Khatta,"('77.0883178', '28.66431645')",2021
Carriageway Dhaula Kuan to 11 Murti,"('77.0883335', '28.664399250000002')",2021
Anand Parbat Gali No. 10,"('77.08834925', '28.664484299999998')",2021
SP Marg to RML way,"('77.08836365000002', '28.66456935')",2021
Pul Prahladpur underpass,"('77.3045546', '28.6354515')",2021
Chhata Rail,"('77.2522004', '28.548247')",2021
Moti Lal Nehru Marg and Maulana Azad Road near Vigyan Bhawan,"('77.251839', '28.5481235')",2021
Minto Road rail underpass,"('77.1937906', '28.5614698')",2021
several arterial roads,"('77.08842655000001', '28.66500165')",2021
Mathura Road,"('77.08843965', '28.66508675')",2020
Vikas Marg,"('77.0884567', '28.6651718')",2020
Sarai Kale Khan,"('77.0884724', '28.66525575')","2020, 2019"
Mayapuri,"('77.08848645', '28.665340450000002')",2020
Raja Garden,"('77.08798235', '28.663744549999997')",2020
Najafgarh-Uttam Nagar Road,"('77.08799355', '28.663840649999997')",2020
Pankha Road,"('77.08801045', '28.66392445')","2020, 2019"
Madhuban Chowk,"('77.08802445', '28.664010750000003')",2020
23 districts of Assam,"('77.08803995', '28.66409575')",2020
11 districts of Bihar,"('77.08805395000002', '28.66418085')",2020
Shastri Park,"('77.08807225', '28.66426585')","2019, 2013"
Burari,"('77.08808905', '28.66435465')",2019
Tughlaqabad,"('77.19369597289236', '28.560769800000003')",2019
Model Town,"('77.08811854999999', '28.664525949999998')",2019
Jahangirpuri,"('77.08813544999998', '28.664662749999998')",2019
Gopal Nagar,"('77.08814945', '28.66474775')",2019
Indiranagar,"('77.08816495', '28.664831550000002')",2019
Majlis Park,"('77.26317130776074', '28.5260907')",2019
Mukherjee Nagar,"('77.08819445', '28.66500415')",2019
Alipur,"('77.08820845', '28.66509165')",2019
Delhi University,"('77.08822115', '28.66518155')",2019
Kingsway Camp,"('77.08823515', '28.66526785')",2019
Civil Lines,"('77.08825064999999', '28.66535905')",2019
Adarsh Nagar,"('77.10921048420931', '28.733839449999998')",2019
Maharani Bagh,"('77.0100528', '28.5992297')",2019
Hasthsal,"('77.10926798897583', '28.733797600000003')",2019
Uttam Nagar,"('77.0884247738918', '28.6655624')",2019
Vishnu Garden,"('77.10934044021671', '28.73374525')",2019
Old Yamuna Bridge,"('77.10934044021671', '28.73374525')",2018
villages along the river,"('77.08825202612698', '28.66558215')",2018
low-lying areas of Delhi,"('77.10942543347737', '28.7336848')",2018
72 villages and 33 urban colonies,"('77.10942543347737', '28.7336848')",2017
350 houses in Mizoram,"('77.23271314734052', '28.54940675')",2017
several roads in Aizawl town,"('77.2895267', '28.6219961')",2017
Kamakhya,"('77.08795985', '28.66562035')",2017
Zoo Road and Chandmari in Guwahati,"('77.2893829', '28.6220144')",2017
Usmanpur,"('77.2893622', '28.6220586')",2013
Bhajanpura,"('77.08777585', '28.66564375')",2013
Garhi Mandu,"('77.08771125', '28.6656561')",2013
Usmanpur Pusta,"('77.08773232610818', '28.6657966')",2013
Jagatpur village,"('77.08779832259258', '28.665786699999998')",2013
