area,corr,year
Nagole,"('78.4740613', '17.360589')",2023
Rajendranagar,"('78.51362947173655', '17.30408515')","2023, 2020"
Qutbullahpur,"('-61.529946', '10.668496')",2023
Saidabad,"('176.89989009269374', '-39.495389200000005')",2023
Singareni Officers colony,"('78.53662751723053', '17.48712245')",2023
Kodandaram Nagar,"('176.8995184634141', '-39.495379')","2023, 2022, 2021"
Saroornagar area,"('78.39041943865855', '17.44536765')",2023
Gajularamaram,"('176.89890188435007', '-39.4953967')",2023
Malkampet,"('176.8990500740156', '-39.49498625')",2023
Dar-ul-shifa,"('176.89849030827742', '-39.4954061')",2023
Afzal Nagar,"('-61.531095', '10.669141')",2023
Bholakpur,"('176.8979217603498', '-39.495413')",2023
Shalibanda,"('176.89857530451937', '-39.49496295')",2023
Hasan Nagar,"('176.8975012192442', '-39.49538455')",2023
Amberpet,"('176.8974155', '-39.49502')","2023, 2022"
Charminar,"('176.89687208945986', '-39.4953949')",2023
Hussainsagar,"('176.8959793', '-39.4949843')",2023
Hyderabad,"('176.89650625478978', '-39.49546075')","2023, 2022, 2021, 2020, 2019, 2018, 2016"
Secunderabad,"('176.89583914461426', '-39.4949043')","2023, 2022, 2021, 2020, 2019"
Kukatpally,"('176.89630541388257', '-39.495396850000006')","2023, 2021, 2017"
Gachibowli,"('78.4740613', '17.360589')","2023, 2021, 2020"
Lingampally,"('78.5244243', '17.3641703')",2023
Jubilee Hills,"('78.51463422098021', '17.30423555')","2023, 2022, 2021"
Madhapur,"('176.8951464', '-39.4952139')","2023, 2021, 2020"
Banjara Hills,"('78.5594102', '17.4807281')","2023, 2022, 2021"
Kondapur,"('-61.531321', '10.669011')","2023, 2021"
Malkajgiri,"('-61.531428', '10.668953')","2023, 2021, 2017"
Sainikpuri,"('78.4740613', '17.360589')","2023, 2021"
Ameerpet,"('-61.53178', '10.669101')","2023, 2022"
Moosapet,"('176.89411735', '-39.49471735')","2023, 2016"
Nampally,"('-61.53175', '10.66917')","2023, 2022"
Tolichowki,"('68.36134563257718', '25.4075358')",2023
Begumpet,"('103.80139915373947', '1.2787608000000001')","2023, 2019, 2016"
Mehdipatnam,"('78.4740613', '17.360589')","2023, 2022"
Karwan,"('-61.531843', '10.669166')",2023
Shankarpally,"('78.4740613', '17.360589')",2023
Medchal,"('0.005548500000002881', '51.54135375')",2023
Qutubullapur,"('78.4740613', '17.360589')",2023
Sai Nagar,"('0.005604684588778111', '51.5413714')",2023
Balaji layout,"('78.4740613', '17.360589')",2023
Suraram,"('0.005660906595782847', '51.541389')",2023
Manikonda,"('78.4740613', '17.360589')",2023
Road No. 14 in Himayatnagar,"('0.0057173', '51.5414067')",2023
Hassan Nagar in Rajendranagar,"('78.4740613', '17.360589')",2023
Bhadrachalam,"('0.005782407637404568', '51.541425700000005')",2023
Mahabubabad,"('78.4740613', '17.360589')","2023, 2022"
Jangaon,"('78.49736016732447', '17.48618885')",2023
Warangal,"('78.4740613', '17.360589')",2023
Khammam,"('78.4740613', '17.360589')",2023
Nizamabad,"('78.4740613', '17.360589')","2023, 2022"
Adilabad,"('78.4740613', '17.360589')","2023, 2022"
Old City of Hyderabad,"('67.146678', '24.981993')",2023
Warangal-Khammam,"('78.4740613', '17.360589')",2023
Somajiguda,"('78.4740613', '17.360589')",2023
Punjagutta,"('78.4740613', '17.360589')","2023, 2022"
Paradise,"('78.4740613', '17.360589')",2023
Kalasiguda,"('78.4740613', '17.360589')",2023
Ranigunj,"('78.4740613', '17.360589')",2023
Monda market,"('78.4740613', '17.360589')",2023
Tarnaka,"('78.4740613', '17.360589')",2023
Habsiguda,"('78.4740613', '17.360589')","2023, 2019"
Basheerbagh,"('78.4740613', '17.360589')",2023
Himalaythnagar,"('78.4740613', '17.360589')",2023
Abids,"('68.36134563257718', '25.4075358')",2023
Musheerabad,"('78.4740613', '17.360589')","2023, 2019"
Shaikpet,"('78.4740613', '17.360589')",2023
Raidurg,"('78.4740613', '17.360589')",2023
Hitech City,"('78.4740613', '17.360589')",2023
Rajendra Nagar,"('78.4740613', '17.360589')","2023, 2022"
Saroornagar,"('78.4740613', '17.360589')","2023, 2022, 2021"
L B Nagar,"('78.4740613', '17.360589')",2023
Bhadradri-Kothagudem,"('78.4740613', '17.360589')",2023
Nalgonda,"('78.4740613', '17.360589')",2023
Batasingaram,"('78.4740613', '17.360589')","2024, 2021"
Maozamjahi,"('78.4740613', '17.360589')",2024
Gudimalkapur,"('78.4740613', '17.360589')",2024
LB Nagar,"('78.4740613', '17.360589')","2023, 2022, 2021"
Himayatnagar,"('78.4042836', '17.4174002')",2023
Ramanthapur,"('78.4740613', '17.360589')",2023
Serilingampally,"('78.4740613', '17.360589')",2023
Hyderabad city,"('78.4740613', '17.360589')","2023, 2018"
L.B. Nagar,"('78.4740613', '17.360589')","2023, 2022, 2021"
Alwal,"('78.4740613', '17.360589')","2023, 2021, 2016"
Kothagudem,"('78.4740613', '17.360589')",2023
Mulugu,"('78.4740613', '17.360589')","2023, 2022"
Nirmal,"('78.4548172', '17.4404381')","2023, 2022, 2021"
Jayashankar Bhupalpally,"('78.4740613', '17.360589')","2023, 2022"
Moranchapalli,"('78.4740613', '17.360589')",2023
Mutyaladara waterfalls,"('78.4740613', '17.360589')",2023
Mallepally,"('78.4740613', '17.360589')",2022
Padma Colony of Chaderghat,"('78.4740613', '17.360589')",2022
Ayyappa Colony in Nagole,"('78.4740613', '17.360589')",2022
Kodandaram Nagar and Saraswathi Nagar in Saroornagar,"('78.4740613', '17.360589')",2022
Malakpet,"('78.4740613', '17.360589')",2022
Dilsukhnagar,"('78.25034627625354', '17.4531948')",2022
Kumram Bheem Asifabad,"('78.25034627625354', '17.4531948')",2022
Peddapalli,"('78.4740613', '17.360589')",2022
Rajanna Sircilla,"('78.4740613', '17.360589')",2022
South Hyderabad,"('78.4740613', '17.360589')",2022
Mancherial,"('78.4740613', '17.360589')",2022
Kothagudem-Bhadradri,"('78.4740613', '17.360589')",2022
Latifabad,"('78.4740613', '17.360589')",2022
Qadam Gah,"('78.4740613', '17.360589')",2022
Gokul Nagar in Tarnaka,"('78.4740613', '17.360589')",2022
Lower Tank Bund,"('78.4740613', '17.360589')",2022
West Marredpally,"('78.4740613', '17.360589')",2022
Gandhi Nagar in Chikadpally,"('78.4740613', '17.360589')",2022
RTC Kalyana Mandapam road,"('78.4740613', '17.360589')",2022
Shastripuram,"('78.4740613', '17.360589')",2022
Vijaynagar Colony,"('78.4740613', '17.360589')",2022
Balaji Nagar in Mehdipatnam,"('78.4740613', '17.360589')",2022
Narsingi,"('78.4740613', '17.360589')",2022
Manchirevula,"('78.4740613', '17.360589')",2022
Puranapul,"('78.4740613', '17.360589')",2022
Chaderghat,"('78.4740613', '17.360589')","2022, 2021"
Khairatabad,"('78.4740613', '17.360589')",2022
Narayanguda,"('78.4740613', '17.360589')",2022
Himayat Nagar,"('78.4740613', '17.360589')",2022
Attapur,"('78.4740613', '17.360589')","2022, 2021"
Upparpally,"('78.4740613', '17.360589')",2022
Bhadradri Kothagudem,"('78.4740613', '17.360589')",2022
Moosarabagh,"('78.4740613', '17.360589')","2022, 2021"
Jagtial,"('78.4740613', '17.360589')",2022
Hayatnagar,"('78.4740613', '17.360589')",2021
Abdullapurmet,"('78.4740613', '17.360589')",2021
Ghatkosar,"('78.4740613', '17.360589')",2021
Boduppal,"('78.4740613', '17.360589')",2021
Peerzadiguda,"('78.4740613', '17.360589')",2021
Medak district,"('78.4740613', '17.360589')","2021, 2020"
Shiridi Sai Nagar,"('78.4740613', '17.360589')",2021
East Anandbagh,"('78.4740613', '17.360589')",2021
Other areas in Hyderabad,"('78.4740613', '17.360589')",2021
Ayyappa Colony,"('78.4740613', '17.360589')",2021
Seesala Basthi,"('78.4740613', '17.360589')",2021
Padmavathi Nagar Colony,"('78.4740613', '17.360589')",2021
Altaf Nagar,"('78.4740613', '17.360589')",2021
Sainagar,"('78.4740613', '17.360589')",2021
Harijana Basthi,"('78.4740613', '17.360589')",2021
Sircilla town,"('78.4740613', '17.360589')",2021
other parts of Rajanna Sircilla district,"('78.4740613', '17.360589')",2021
Nirmal district,"('78.49785560000001', '17.3097074')",2021
Majidpur,"('78.4740613', '17.360589')",2021
Siddipet,"('78.4740613', '17.360589')",2021
Medak,"('78.4740613', '17.360589')","2021, 2016"
Yadadri,"('78.4740613', '17.360589')",2021
Bhuvanagiri,"('78.4740613', '17.360589')",2021
Osman Nagar,"('78.4740613', '17.360589')",2021
Hafiz Baba Nagar,"('78.4740613', '17.360589')","2021, 2020"
Al Jubail Colony,"('78.4740613', '17.360589')",2021
Nehru Zoological Park,"('78.4740613', '17.360589')",2021
Ward no-III ( Karkhana ),"('78.4740613', '17.360589')",2021
10 residential colonies,"('78.4740613', '17.360589')",2021
Viman Nagar (Indian Airlines) Colony,"('78.4740613', '17.360589')",2021
2BHK dignity housing scheme,"('78.4740613', '17.360589')",2021
Uma Maheshwari Colony-Kompally,"('78.4740613', '17.360589')",2021
BN Reddy Nagar,"('78.4740613', '17.360589')",2021
Osmannagar,"('78.4740613', '17.360589')",2021
Wadi-e-Saleheen,"('78.4740613', '17.360589')",2021
Saif Colony,"('78.4740613', '17.360589')",2021
Al Jubail colony,"('78.4740613', '17.360589')",2021
Moula ka Chilla,"('78.4740613', '17.360589')",2021
Yakutpura,"('78.4740613', '17.360589')",2021
Chacha Garage,"('78.4740613', '17.360589')",2021
Amannagar,"('78.4740613', '17.360589')",2021
Lalithbagh,"('78.4740613', '17.360589')",2021
Uppuguda,"('78.4740613', '17.360589')",2021
"""Hyderabads historic old city""","('78.4740613', '17.360589')",2021
"""Hyderabads new city""","('78.4740613', '17.360589')",2021
Bhimashankar,"('78.4740613', '17.360589')",2021
Sangli,"('78.4740613', '17.360589')",2021
Greater Hyderabad Municipal Corporation,"('78.4740613', '17.360589')",2020
Nizamabad district,"('176.893534', '-39.487898')","2020, 2016"
Warangal district,"('68.3832878', '25.3515534')",2020
Khammam district,"('176.89363', '-39.48778')",2020
Adilabad district,"('78.4740613', '17.360589')",2020
Karimnagar district,"('68.36134563257718', '25.4075358')","2020, 2016"
Ranga Reddy district,"('78.4740613', '17.360589')",2020
Mahbubnagar district,"('68.36134563257718', '25.4075358')",2020
Nalgonda district,"('78.4740613', '17.360589')",2020
Cyberabad,"('68.36134563257718', '25.4075358')",2020
Rangaraddy district,"('78.4740613', '17.360589')",2020
surrounding areas,"('176.893781', '-39.487313')",2020
Suburbs,"('78.4740613', '17.360589')",2020
Alinagar,"('176.893851', '-39.487138')",2020
Barkas,"('78.4740613', '17.360589')",2020
Palace View Colony,"('78.54751369997041', '17.484777700000002')",2020
Bandlaguda,"('78.4740613', '17.360589')",2020
"37,000 families","('78.4740613', '17.360589')",2020
Marredpally,"('78.4740613', '17.360589')",2019
Monda Market,"('78.4740613', '17.360589')",2019
Bowenpally,"('78.4740613', '17.360589')",2019
M S Maktha area,"('176.89412666176509', '-39.486432750000006')",2019
Beechupally,"('78.4740613', '17.360589')",2019
Gurram Gadda,"('78.4740613', '17.360589')",2019
Karachi,"('78.4740613', '17.360589')",2019
Mirpurkhas and Thatta,"('78.4740613', '17.360589')",2019
Hitec City,"('78.4740613', '17.360589')",2018
Indira Nagar,"('78.4740613', '17.360589')",2017
Raghavendra Nagar,"('78.4740613', '17.360589')",2017
East Anand Bagh in Malkajgiri,"('78.4740613', '17.360589')",2017
