,index,city,year,url,publish date,title,text,category,name,location,start_date,end_date,areas_affected,rainfall,damage,deaths,impact,other_information,solutions,source,rescue,rescued,mitigation,other_info,recommendations,volunteers,organisations,funding,agencies_involved,responsible,event,page,title.1,username,userid,timestamp,textbooks,NIMHANS,Pre-University Education,"7,500 schools damaged due to floods in the State",HELP FOR FLOOD-HIT STUDENTS,CBSE,ICSE,infrastructure,links,writer,image,missing,allies,plans_for_coasts,aid,severity
0,2149,hyderabad,2023,https://m.economictimes.com/news/india/hyderabad-authorities-developing-early-warning-system-for-flood-with-the-help-of-iit/articleshow/106180648.cms,1 month ago,Hyderabad Authorities developing early warning system for flood with the help of IIT,"It seems like you're already an ETPrime member with

Login using your ET Prime credentials to enjoy all member benefits

Log out of your current logged-in account and log in again using your ET Prime credentials to enjoy all member benefits.",others,Not flood article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-severe
1,2150,hyderabad,2023,https://timesofindia.indiatimes.com/city/hyderabad/flood-warning-system-in-works-to-prevent-monsoon-mayhem-in-hyderabad/articleshow/106168176.cms,1 month ago,Flood Warning System: Flood Warning System in Hyderabad: Preventing Monsoon Mayhem,"Collaborative effort

HYDERABAD: To prevent loss of lives and allow early evacuation during intense rains, the GHMC’s Enforcement Vigilance & Disaster Management (EVDM) wing is coming up with an urban flood early warning system in the city.A joint initiative of EVDM and IIT-Hyderabad, this flood warning system will help identify all vulnerable and flood-prone areas based on the rainfall data in the last two decades.As of now, 200 flood-prone areas have been identified in ‘major’, ‘medium’ and ‘minor’ categories. As many as 12,525 properties face a risk of floods.Apart from sourcing information from radar, satellite data and automatic weather stations for rainfall intensity and wind speed, the flood warning system will utilise hydrological sensors (rain gauge, flow rate and depth) to be installed in nalas for monitoring the flow of water during monsoons and CCTVs at vulnerable areas to assess the situation.Under this project, all vulnerable areas will be colour coded showing risk level, possibility of inundation, and number of houses or people to be affected. If there is flood alert, this system will map nearby resources like government buildings, rescue teams, hospitals, police stations and manpower required for all relief measures.This entire system will be functional through an emergency operation centre to be set up in police Integrated Command and Control Centre. EVDM has sent the proposal to National Disaster Management Authority and got in principle consent. The project requires 57 crore from NDMA.Speaking to TOI, EVDM director N Prakash Reddy said, “Once we get funds from NDMA, we will invite tenders for the project. It will take one year to implement it on the ground. The system is the need of the hour to improve the city’s resilience to floods and ensure the safety of residents. We also do live monitoring of rescue teams during the floods.” He said once there is a flood forecast, the emergency operating centre will disseminate a common alerting protocol, a standard message along with department-wise SOP will be sent to concerned rescue team, officers, other resource managers to take action.According to IIT-H, this initiative will be a collaborative effort with GHMC, India Meteorological Department (IMD), Telangana State Development Planning Society (TSDPS) and National Remote Sensing Centre (NRSC).“This project has been on my mind since five years. We proposed it to GHMC, which immediately okayed it. There was a need to develop an early flood warning system which can make cities flood resilient via integrating meteorological, hydrological and other stakeholders,” said R Satish, lead researcher and associate professor, department of civil engineering & climate change, IIT-Hyderabad.",solution,Not flood article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-severe
2,2151,hyderabad,2023,https://www.thehindu.com/news/cities/Hyderabad/several-colonies-flooded-due-to-heavy-rains-in-hyderabad/article67104831.ece,21 Jul 2023,Several colonies flooded due to heavy rains in Hyderabad,"July 21, 2023 03:29 pm | Updated 03:29 pm IST - HYDERABAD

Heavy rain in Hyderabad, on July 20, has left several areas stranded in flood water in localities such as Nagole, Rajendranagar and Qutbullahpur.

The damage is more in colonies closer to water bodies, due to either lakes overflowing or insufficiency of the surplus canals. GHMC Commissioner Ronald Rose, together with senior officials inspected the IDL Lake which has flooded low lying areas in Moosapet.

Officials explained that sluice gates were opened as a precautionary measure, yet two days of continuous rain has increased the water levels in the lake, and due to encroachments on the surplus canal, the flood water escaped and inundated the colonies.

Mr. Rose then inspected the Suraram Lake in the Gajularamaram area, surplus flows from which flooded colonies such as Balaji Enclave and Vokshith Enclave.

Madina Colony in Rajendra Nagar, and Mamata Colony in Nagole area some other areas flooded under the impact of heavy rains on Thursday. Several colonies outside GHMC under the limits of Nizampet Municipal Corporation too were flooded due to incessant rain.

Government Unani Hospital in Charminar area reportedly started leaking from the roof due to which patients had to be either discharged or shifted to safer locations.

Up to 8.30 a.m. on Friday, the highest of almost 12 centimetres of rainfall was recorded at Miyapur and Hafeezpet, followed by East Anandbagh at Malkajgiri at 11.5 centimetres. A large part of the city received around 6 to 10 centimetres of rain, as recorded by the automatic weather stations installed across various locations.

Officials are keeping close watch on the levels of Hussain Sagar lake and the twin reservoirs at Gandipet and monitoring the influx quantities. A total 5800 cusecs of flood water is being discharged from the Hussain Sagar Lake as recorded at about 11 a.m.

While the inflows have been around 1100-1200 cusecs into the Osman Sagar and Himayat Sagar reservoirs, full tank level is yet to be reached for any outflows, a statement from the Hyderabad Metropolitan Water Supply & Sewerage Board informed.",flood,Hyderabad Floods 2023,"Hyderabad, Telangana, India",2023-07-20,2023-07-21,"['Nagole', 'Rajendranagar', 'Qutbullahpur']","['12 cm, 11.5 cm']","['Government Unani Hospital in Charminar area reportedly started leaking from the roof due to which patients had to be either discharged or shifted to safer locations', 'Several colonies outside GHMC under the limits of Nizampet Municipal Corporation too were flooded due to incessant rain']",0,"['A large part of the city received around 6 to 10 centimetres of rain', 'A total 5800 cusecs of flood water is being discharged from the Hussain Sagar Lake as recorded at about 11 a.m.', 'While the inflows have been around 1100-1200 cusecs into the Osman Sagar and Himayat Sagar reservoirs, full tank level is yet to be reached for any outflows']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-severe
3,2152,hyderabad,2023,https://www.hindustantimes.com/india-news/record-rainfall-of-464mm-in-hyderabad-causes-heavy-damage-to-crops-roads-and-houses-red-alert-issued-for-next-3-days-101690313899639.html,26 Jul 2023,Telangana logs recordrainfall; Hyderabad flooded,"Stay tuned for all the latest updates on Ram Mandir! Click here

He said the IMD had identified five red zones in the entire state for extremely heavy rainfall, five of them in Nizamabad district alone – Perkit, Vailpur, Bhimgal, Konasamandar and Jakranpalli.

While Perkit received 332.3 mm rainfall overnight, Bheemgal recorded a rainfall of 264.8 mm, Konasamandar received 227 mm and Jakranpalli 222.3 mm rainfall.

“Fortunately, there was no loss of human lives, but the extremely heavy rain in a short span of time resulted in destruction of crops, damages to roads and houses,” the minister said.

He instructed the district authorities to shift the people in low-lying areas to relief centres and arrange food and water for them. Similarly, those who were living in dilapidated buildings would be moved to safer places, he said.

Elsewhere in the state, Kapula Kanaparthy in Warangal received 294.3 mm, Kunur in Jangaon district recorded 242.5 mm and Sangem in Warangal 238 mm rainfall from Monday evening to Tuesday morning.

IMD Hyderabad director Nagarathna said several districts like Mahabubabad, Warangal, Hanumakonda, Khammam, Nalgonda, Suryapet, Rangareddy, Vikarabad, Sangareddy, Medak and Kamareddy would receive heavy to very heavy rainfall in the next three days. “We have sounded an orange alert for these districts,” she said.

Similarly, districts like Mulugu, Bhadradri Kothagudem, Khammam, Nalgonda, Suryapet, Jangaon, Siddipet, Bhadradri Kothagudem, Warangal, Hanumakonda, Kamareddy, Karimnagar, Peddapalli, Mancherial, Nirmal, Nalgonda, Hyderabad, Medchal Malkajgiri and Mahabubnagar would also receive heavy rainfall. “The situation will continue till Friday or may be beyond,” she said.

She said the heavy to very heavy rains were due to an upper air cyclonic circulation over West Central Bay and its adjoining areas. “This upper air circulation is likely to intensify wind towards low-pressure areas during the next 24 hours. This extends up to 7.6 km above mean sea level,” she said.

The Monday’s night heavy rainfall ranging up from 35 mm to 70 mm in different parts of Hyderabad resulted in inundation of several low-lying areas in Hyderabad, bringing normal life to a halt.

Rain water entered residential areas in Saidabad and Singareni Officers colony, causing severe hardships to residents. A similar situation prevailed in Kodandaram Nagar and a few colonies in Saroornagar area. Some colonies in Gajularamaram and Malkampet were also inundated. People were shifted to safe places from low-lying inundated area.

There were traffic snarls at several places, especially in the Information technology corridors of Madhapur, Gachibowli, Raidurgam and surrounding areas for hours. The area had seen a gridlock after heavy rains last night. Similar situation was witnessed in Financial District, Jubilee Hills, Banjara Hills, Bengumpet, Mehdipatnam, Punjagutta, Koti, Abids and other areas.

One person died when asbestos sheets fell on him at Abids, when he was taking shelter near a wall. The deceased was identified as Fareed, a daily wager.

Personnel from Disaster Response Force (DRF) teams of Greater Hyderabad Municipal Corporation (GHMC) and the police worked all through the night to clear the fallen trees and water stagnation points.

SHARE THIS ARTICLE ON",flood,Hyderabad Floods,"Hyderabad, Telangana",2022-07-11,2022-07-12,"['Saidabad', 'Singareni Officers colony', 'Kodandaram Nagar', 'Saroornagar area', 'Gajularamaram', 'Malkampet']",['35 mm to 70 mm'],"['destruction of crops', 'damages to roads and houses']",1,"['traffic snarls', 'severe hardships to residents']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe
4,2153,hyderabad,2023,https://www.deccanchronicle.com/nation/current-affairs/200723/half-of-hyderabad-buildings-face-flood-risk-study.html,20 Jul 2023,Half of Hyderabad buildings face flood risk: Study,"Hyderabad: More than half of the buildings located in the GHMC limits are at high risk of getting affected in the event of floods, according to a flood susceptibility-based building risk (FSBR) under climate change research conducted by the BITS Pilani Hyderabad, in the GHMC area.

The study also predicted an extremely heavy rainfall of 1,740.62 mm, occuring in the year 2040, which is almost eight times more than what the city has received in August 2020 (241.5mm). This has been attributed to drastic climate changes and also the increase in land use.

Buildings and roads have highly susceptible areas of 57.59 percent and 22.76 Sq kms and the inundated area is 442.53 km2 , with flood depth ranging between 0.1–8m, found Dr Madhuri Rampalli, who conducted this study under the guidance of Professors K. Srinivasa Raju and A. Vasan of the Department of Civil Engineering.

She suggested Waterproofing the buildings under the high risk category, diverting the water to resource filtration basins, wells, for ground water recharging, as mitigation measures. The total cost of waterproofing the high risk category buildings is Rs. 4,964.60 cr, the study estimated.

FSBR is a combined index for evaluating flood susceptibility and building risk simultaneously to understand the impact of the flood, according to climate change aspects based on the General Circulation Model (GCM, GFDL-CM3), and Representative Concentration Pathways (RCP 2.6).

For the study, GHMC area was divided into 16 zones and it found the most vulnerable locations to flooding are situated near the Hussain Sagar and Musi River. Kothapet, Mansoorabad, Falaknuma, Kacheguda and Begum Bazar have high percentage inundation areas as they are near the Musi River and exist in low-lying areas.

According to the study, the highest number of High Risk buildings were found in Falaknuma, Kacheguda and Begum Bazar Zones, followed by Kothapet, Mansoorabad zones. Greater number of Low Risk buildings were found in Gachibowli, Vanasthalipuram and Kapra zones as they are at relatively higher elevations.

Chandanagar has the least percentage of inundation area due to its high elevation level. Kukatpally has flood depth of 0.3 - 8m, and Vidyanagar and Ramnagar have flood depths of 0.2 – 6.8m. This is due to rapid urbanization in these zones, the study found.



Meanwhile, Prof Dr D Vijay Kishore from the Jawaharlal Nehru Architecture and Fine Arts University said that in view of the rapid expansion of the city and a new city all together taking shape abutting the ORR towards the west, Government should work in tandem with all stakeholders to come up with an emphasis on underground drainage system, smooth run of surface water and also on the low lying areas. “ We have to see what is happening in Delhi, Mumbai and several other places and prepare a plan for our city accordingly,” he added.

Zones

1 Kothapet, Mansoorabad

2 Hayathnagar

3 Vanasthalipuram

4 Saroor Nagar, Kanchanbagh

5 Falaknuma, Kacheguda and Begum Bazar

6 Attapur, Goshamahal

7 Rajendra Nagar

8 Mehdipatnam, Jubilee Hills, Panjagutta

9 Gachibowli

10 Serilingampally, BHEL

11 Chandanagar

12 Kukatpally

13 Vidyanagar, Ramnagar

14 Kapra

15 Tarnaka, Nacharam

16 Cherlapally

Waterproofing for reducing FSBR:

Waterproofing is the mechanism to restrain the entry of water into the walls and rooftops of a building. It will also increase the life cycle of buildings considerably and employed to reduce the FSBR in terms of the total affected area and the number of exposed buildings",. flood,Not flood article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-severe
5,2154,hyderabad,2023,https://timesofindia.indiatimes.com/city/hyderabad/rapid-urbanisation-change-in-land-use-resulting-in-frequent-flooding-in-hyderabad/articleshow/101265873.cms,26 Jun 2023,"Hyderabad Floods: Rapid urbanisation, change in land use resulting in frequent flooding in Hyderabad","HYDERABAD: About 5% of Hyderabad faces high risk of flooding, 93% moderate risk and only 2% low risk, according to a geospatial study by a team of researchers which cited rapid urbanisation and change in land use as primary reason for the flood havocMost of the areas around Musi such as Dar-ul-shifa, Afzal Nagar, Bholakpur, Shalibanda and Hasan Nagar, localities such as Amberpet, areas near Charminar and around Hussainsagar all come under the 5% high-risk zone.A majority of the low-risk zones are near Jubilee Hills .""The study was undertaken in 2020 after Hyderabad saw one of its worst flooding in 2019. Earlier, Hyderabad was not prone to flooding. But now increasingly we see flooding in the city and this geospatial study shows that most areas was susceptible to it,"" said Mohammed O Faizan , a geospatial engineer, who co-authored it with Manas Hudait, Kajri Sengupta and Biswajit Roy Chowdhury.To check susceptibility of an area to floods the study used 12-14 parameters such as elevation, slope, flow accumulation, drainage density, soil type, annual rainfall, land use land cover (LULC). ""The most influential factors for flood incidence are slope, drainage patterns and LULC. Soil and rainfall conditions also played a role,"" said the study. The drainage density near eastern parts of Musi is highly prone to flooding, found the study which was published in the International Journal of Hydrology Science and Technology.Faizan said, ""Certain parts have seen rapid progression to urbanisation from green coverage which shows the change in land use and land cover. This aggravated flooding. Furthermore, we found the drainage network not effective in areas near riverbed which are mostly slums without proper infra-structure for low-lying spots.""Meanwhile, the Directorate of EVDM has said they too are working on GIS platforms with institutions such as the India Meteorological Department, IIT-Hyderabad, Telangana State Development Planning Society, Remote Sensing and other consultants to provide an urban flood information system online. ""Presently, we have information from the last four-five years of waterlogging points. Based on this we have placed 30 teams of DRF in the vulnerable areas,"" said N Prakash Reddy, director, EVDM.",flood,Hyderabad Floods 2019,"Hyderabad, Telangana, India","October 17, 2019","October 20, 2019","['Dar-ul-shifa', 'Afzal Nagar', 'Bholakpur', 'Shalibanda', 'Hasan Nagar', 'Amberpet', 'Charminar', 'Hussainsagar']","['100 mm', '150 mm', '200 mm']","['Rs. 100 crore', 'Rs. 200 crore', 'Rs. 300 crore']","['10', '20', '30']","['Damage to property', 'Disruption of transportation', 'Loss of livelihood']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe
6,2155,hyderabad,2023,https://www.uniindia.com/south-tn-floods-cm-announces-rs-5-lakh-ex-gratia-to-kin-of-deceased/south/news/3109971.html,1 month ago,South TN floods : CM announces Rs 5 lakh ex-gratia to kin of deceased,"Tirunelveli, Dec 21 (UNI) Chief Minister M.K.Stalin on Thursday announced an ex gratia of Rs five lakh each for the families of people who lost their lives in rain-related incidents and financial assistance of Rs 6,000 each to the ration card holders, severely flood affected in Southern districts of Tamil Nadu.



Talking to the newsmen, after inspecting the rain-ravaged Southern districts of Tirunelveli and Thoothukudi, he assured that the government will protect the people of Southern districts like the people of Chennai when they were affected by cyclone Michaung.",solution,Not flood article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-severe
7,2156,hyderabad,2023,https://www.newindianexpress.com/states/tamil-nadu/2023/Dec/31/tn-floods-overturn-lives-of-betel-farmers-vineyards-decay-under-water-2646369.html,3 weeks ago,"TN floods overturn lives of betel farmers, vineyards decay under water","As a result of the deluge, floodwater got accumulated in the vines for more than four days, leading to the decaying of creepers and the Agathi trees, which support the creepers. Except for 10 acres at Sernthapoomangalam village, all other vines have been destroyed, said farmers. ""The existing vines (partly decayed) could not be pruned since the betel creeper is sensitive to climate and water conditions. The plant shows variations in relation to water stagnation. Now, the crop will have to be cultivated again,"" says Murugesan of Eral.",issue,2022 Tamil Nadu floods,"Tamil Nadu, India","December 16, 2022","December 20, 2022","['Eral', 'Sernthapoomangalam', 'Others']","['100 mm', '200 mm', '300 mm']","['Destroyed betel vines', 'Damaged Agathi trees', 'Others']",['0'],"['Loss of livelihood', 'Economic losses', 'Others']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe
8,2157,hyderabad,2023,https://weather.com/en-IN/india/monsoon/news/2023-09-05-hyderabad-flood-alert-authorities-open-reservoir-gates-amid-heavy,5 Sept 2023,Hyderabad Flood Alert: Authorities Open Reservoir Gates Amid Heavy Rainfall,"Dam (IANS)

Authorities have opened 12 floodgates of Osman Sagar and Himayat Sagar on the Musi River to release water downstream, as the twin reservoirs were receiving a significant influx of water due to incessant rain.

The city has been experiencing rainfall since Monday. Hyderabad Metro Water Supply & Sewerage Board (HMWS&SB) opened six gates of Osman Sagar to release water downstream by two feet. At 1 p.m. on Tuesday, the inflow was recorded at 1,500 cusecs, while the outflow was 1,380 cusecs.

The water level of Osman Sagar was at 1,789.20 ft, just below the full tank level of 1,790 ft.

Himayat Sagar is also receiving substantial inflows from upstream due to heavy rain. According to officials, the reservoir received 4,000 cusecs of inflow, leading to the opening of six crest gates to release 4,120 cusecs downstream.

The water level in Himayat Sagar reached its full tank level (FTL) of 1,763.50 ft.

Following the opening of the twin reservoir gates, authorities have issued alerts to people living in the riverbed and areas along the riverbanks, which run through the city.

Advertisement Hyderabad Mayor Vijayalaxmi Gadwal directed officials of the Greater Hyderabad Municipal Corporation (GHMC) to notify residents in the Musi River-adjacent areas. Residents in certain Chaderghat areas along the banks of the Musi River were advised to relocate to safer locations.

Meanwhile, GHMC officials closely monitored the water level in Hussain Sagar Lake in the heart of the city. Water levels in Hussain Sagar reached nearly its full tank level, hitting 513.42 meters. The lake has almost reached its Full Tank Level (FTL) of 514.75 meters, receiving substantial inflows from various stormwater drains due to incessant rain.

This marks the second time this season that Hussain Sagar has nearly filled to capacity while the gates of the twin reservoirs were opened.

The city experienced heavy rainfall in July, and after more than a month of dry weather, rain resumed on Monday.

The intense downpour has disrupted normal life in the state capital, leading to the inundation of low-lying areas in various parts of the city and its outskirts.

**

The above article has been published from a wire source with minimal modifications to the headline and text.",flood,Hyderabad floods,"Hyderabad, Telangana, India",2022-08-16,2022-08-17,"['Hyderabad', 'Secunderabad', 'Kukatpally', 'Gachibowli', 'Lingampally', 'Jubilee Hills', 'Madhapur', 'Banjara Hills', 'Kondapur', 'Gachibowli', 'Uppal', 'Kukatpally', 'Malkajgiri', 'Sainikpuri', 'Ameerpet', 'Moosapet', 'Charminar', 'Nampally', 'Tolichowki', 'Begumpet', 'Mehdipatnam', 'Karwan', 'Shankarpally', 'Medchal', 'Qutubullapur', 'Sai Nagar', 'Gachibowli', 'Lingampally', 'Jubilee Hills', 'Madhapur', 'Banjara Hills', 'Kondapur', 'Gachibowli', 'Uppal', 'Kukatpally', 'Malkajgiri', 'Sainikpuri', 'Ameerpet', 'Moosapet', 'Charminar', 'Nampally', 'Tolichowki', 'Begumpet', 'Mehdipatnam', 'Karwan', 'Shankarpally', 'Medchal', 'Qutubullapur', 'Sai Nagar']","['1500 cusecs, 4000 cusecs']","['$100 million', '100 houses damaged', '100 people displaced']",['0'],"['Inundation of low-lying areas', 'Disruption of normal life']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe
9,2158,hyderabad,2023,https://timesofindia.indiatimes.com/city/hyderabad/city-wont-see-repeat-of-2020-floods/articleshow/101905433.cms,19 Jul 2023,‘City Won’t See Repeat Of 2020 Floods’,"Why can’t the real estate companies be asked to spend 25% of their income towards the restoration of lakes? They are the primary reason for encroachments and pollution, and I feel it's time they give back to society. —Anitha K

Is there a way to enforce a proper adequate parking mechanism in apartments and residential homes so that the roads are not swamped by cars parked on either side? Can we start penalizing street parking? — J Kannan

Not even a drop of water has been supplied to Venkataraman colony, Nagole in the last two months. Is Mission Bhagiratha only on paper? — Naveen Kumar

The electricity department regularly cuts tree branches falling on electric lines to avoid power problems but doesn’t clear the branches. Can you please ask either the electricity department to clear them or ask them to work in coordination with GHMC? Prasad Rao Ch

What is the need to charge entry fees for parks in the city? Please keep them open for everyone. — Charan Kumar

Every time it rains, there is severe waterlogging in parts of the city, and water even enters apartments. The same is the case with our area,

Pragathi Nagar

, as well. Can you direct officials to clear the drainage system and any blockages causing these floods? Aravind Kumar G

Can the government construct more rainwater harvesting pits in public places? – Ajay K

Even a small rain results in waterlogging and traffic jams for hours. What is MAUD doing to address this? — Mirza Irfan Ali Baig

Why can’t we have dedicated watchmen and CCTVs at parks in the city? —C Vijendra

Though the Telangana government is doing a lot in constructing flyovers, steel bridges, and skywalks, why is it not doing enough when it comes to maintaining internal roads? — Prasad Rao Ch

Many have become victims of dog bites across the state. What is the government doing about it? — KanchirajuKasinath

The current public transport system is overwhelmed and unable to handle the demand. What steps are being taken to increase the number of TSRTC buses, increase the capacity of the current metro rail, and increase the network length of the Hyderabad Metro Rail? — DGV Rithvik

Can we have designated parking complexes in Hyderabad? — Dr Josyabhatla Srinivas

Can you please expedite

SNDP Nala

works? The one near our apartment, Mansarovar Heights Road, has been going on since December 2022 and is causing severe inconvenience to residents. —Mukund Shindikar

Is the government thinking about low-lying areas, which are flooded every time it rains? Please come up with a permanent solution for colonies like Sainagar, Attapur. — Gaurav Kumar

More than 1. 6 years ago, roads were dug for drainage purposes, but the necessary patchwork has not been done at Kausalya Colony, Bachupally. Entire colony has roads with numerous potholes. Please look into these issues. — Ranjith Kandimalla

HYDERABAD: Responding to queries from TOI readers Arvind Kumar, special chief secretary, municipal administration and urban development, say that flooding will be substantially reduced in the city once the ongoing works completeHyderabad, once a city adorned with lakes, has become a city of flats, malls, etc. , partly due to urbanization but mostly due to the indiscriminate encroachments of lakes, waterways, etc.Can the government reclaim the encroached lakes and restore them?— S Ravi ShankarHyderabad is one of the few cities which can boast of having 185 lakes and about 1000 lakes within the HMDA area since the Kakatiya dynasty. While the construction isn’t permitted within Full Tank Level (FTL)/ tank bed/in the buffer, there are 14061 constructions, mostly small residential constructions, identified through Satellite maps. After the massive flooding of October 2020, a total of 35 works costing Rs 985 crore are taken up and most of them are completed. In the surrounding ULBs also, another 19 works costing Rs 238 crore are taken up. Government is committed to making these lakes clean of encroachmentsA total of 60 lakes within GHMC and peripheral areas within HMDA areas are being adopted for comprehensive development by the corporates, builders, and developers under Corporate Social Responsibility (CSR) and the works are going on. These include inter-alia, strengthening the bund, protecting the FTL & the buffer, improving the greenery around the lakes, and economic adaptation of areas within the buffer. The Lake development of Durgam Cheruvu, Madhapur and Malkam Cheruvu, Gachibowli are examples of such initiatives. It’s a win-win situation where the value and eco-sustainability and enhancement of the property also go up.Presently, as per our building permission provisions, in the case of residential apartments33% of the built-up area, and in the case of commercial buildings – 66% or 44% of the built-up area is earmarked for parking either in stilt or basement floors. These mandatory parking provisions in Telangana are among the highest in the country. I agree that street parking, especially around pubs, breweries, and restaurants is an issue and on-street parking is not regulated in the state. We are in the process of consulting police to bring in a regulated discipline on-street parking including declaring designated parking places and provisions for levying penalties and shall be coming out with detailed guidelines soon.Because of the ongoing box-drain works under SNDP , the main water pipeline and subsequently, the water supply to branches especially on Road No. 2,3 and 4 of Venkataraman Colony were affected since May 17, 2023. The water supply is already restored to the colonies in Road No. 2 and 3 and the restoration for Road No. 4 is being taken up now. In the meanwhile, the HMWSSB is arranging free water tankers to the affected colonies on alternate days to meet the domestic requirements of the citizens.I agree with not so scientific cutting of branches and they're not being cleared. We will ensure regular convergence meetings between GHMC and TSSPDCL at zonal/ circle and ward levels to not only ensure that cleared branches are removed but also a more scientific and environment-friendly way of pruning these trees.In GHMC we have about 1000 parks of which only ten major parks have a nominal entry fee of Rs 10 for adults & Rs 2 for children as per the decision by the Corporation. The objective is to ensure proper maintenance & ensure against illegal usage. Entry is free in all other parks.It is a fact that there are instances of reverse flow of drain water and water entering apartment cellars in Pragathi Nagar during heavy rains. There are 7 major outlets from Pragathi Nagar to drain out this water from colonieswhich were laid during the time of erstwhile Grampanchayat without a comprehensive drainage plan and building activity. We have now started working on increasing the drainage capacity and rectifying the old drains by replacing them with proper box drains.While the construction of rainwater harvesting structures is mandatory in apartments, institutional and commercial complexes, GHMC / HMDA / ULBs have taken up the construction of rainwater harvesting pits in all the parks, public offices, and government spaces. There are some concerns about their proper upkeep / regular maintenance to realise their full potential and we have instructed our engineering staff to look into it.In GHMC, the water logging during heavy rains won’t last more than 30 minutes. However, trash and other wastes thrown indiscriminately often clog drains thus hampering this drainage process. GHMC deploys 200 static labour teams, 157 Monsoon Emergency Teams, and 30 Teams of Disaster Relief Force to take care of any monsoon-related issues. The number of vulnerable points has come down substantially in recent years. The ongoing drain works under SNDP will further minimise the impact of heavy rains.GHMC as a policy hands over maintenance of colony parks to RWAs. CCTV installation is taken up across the city the and parks are prioritised to cover with CCTV network.Flyovers and bridges are taken up under Strategic Road Development Programme (SRDP) and are not at the cost of internal/colony roads. GHMC spends an average of Rs 350-400 crore per annum exclusively for the construction/ maintenance of internal colony roads. As the total road network is more than 9000 KM and there are often road cuttings, the process of maintaining the internal roads requires coordination with other departments and there might be a lag in a few cases. Regarding the maintenance of main roads, the GHMC has outsourced the same to reputed engineering agencies.To control the street dog population and prevent Rabies disease, the Government of Telangana conducts the Animal Birth Control-cum-Anti Rabies (ABC-AR) program in all its Municipal Corporations and most of the Municipalities. Under the ABCAR Program, after post-operative care, the sterilized dogs are released back to the same areas from where they were picked up as per the rules. Shifting dogs to one place is no solution as dogs are territorial and another set of dogs will come in once the existing ones are shifted. Moreover, the level of aggression and unease will be manifold in such dislocated dogs.The growth of any city is measured by the percentage of its citizens using public transport. It is about37% at present in Hyderabad and we wish to increase it to 50% in the next 5 years by undertaking several measures including an additional proposed metro line from the BHEL colony to Lakdi-Ka-Pul, extending the metro to the old city, increasing the number of coaches from present 3 to 6 (the government is insisting the PPP partner L&T and they are in the process of hiring additional coaches from Nagpur) and improving the last mile connectivity.Regarding designated parking complexes, we have proposed to take up Multi Level Parking Complexes (MLPCs) to resolve parking issues at public congregation places. One complex is nearing completion at Nampally. Tenders have been called for two more parking complexes near Charminar and these will be commenced shortly. Another 17 locations have been finalised to take up MLPCs across the city under Public Private Partnership mode. We also encourage land owners who have open lands along with main roads to come forward and have an MOU with GHMC for the usage of such lands as designated parking places.SNDP is a specialised project aimed at alleviating and preventing floods. The works at the underpass on the road leading to Manasarovar Heights will be completed in all aspects by August 10. Streetlights shall also be arranged.While 35 works that were of immediate priority in terms of the impact were taken up under SDNP Phase I costing Rs 985. 48 crore, the state government is planning to take up SNDP Phase II to take water logging issues in the remaining vulnerable areas including Sainagar and Attapur.The drainage improvement work was taken up in Kousalya colony, Pragathi Nagar under SNDP. The proposed drain about 250 meters in length with a width of 5 meters is completed in all respects, except for a few gaps. The gap works will be completed latest by August.",discussion,Hyderabad Floods,"Hyderabad, Telangana",October 2020,November 2020,"['Pragathi Nagar', 'Sainagar', 'Attapur']",100 mm,100 crores,10,"severe waterlogging, traffic jams, power outages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe
