area,corr,year
Mumbai City,"('72.88662753964906', '19.08157715')","2023, 2022, 2020, 2019, 2017"
Mumbai Suburban,"('72.8258712', '19.1285751')","2023, 2022, 2020, 2019, 2017"
Thane,"('73.01309555', '19.20810735')","2023, 2022, 2021, 2020, 2019, 2018, 2017, 2015, 2013"
Palghar,"('72.84859540385334', '19.2347014')","2023, 2021, 2020, 2019, 2018, 2017, 2013"
Marine Lines,"('72.83864170000001', '19.17947075')",2023
Dahisar,"('72.843728', '19.10639355')","2023, 2019, 2017"
Borivli,"('72.83051638673578', '19.051436799999998')",2023
Kandivli,"('72.8247526', '19.0630814')",2023
Andheri Subway,"('73.01303212243772', '19.20711125')","2023, 2022"
BKC Connector,"('73.01403451897053', '19.207834249999998')",2023
Wadala West Station,"('72.88662753964906', '19.08157715')",2023
Jain Derasar lane,"('72.88662753964906', '19.08157715')",2023
David S Barretto Road,"('72.8293764', '19.049285')",2023
Mumbai,"('72.88662753964906', '19.08157715')","2023, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013"
Raigad,"('72.88662753964906', '19.08157715')","2023, 2022, 2021, 2020, 2019, 2018, 2017, 2013"
Sindhudurg,"('72.82810491917377', '18.9733536')","2023, 2021, 2020, 2017, 2013"
Dadar TT Circle,"('72.8124284', '19.1336929')",2023
Sion Road 24,"('72.8123759', '19.1336847')",2023
Tilak Nagar,"('72.8214505', '19.1345686')","2023, 2020"
Andheri and Dahisar subways,"('72.88662753964906', '19.08157715')",2023
Gaffar Khan Road near Worli Sealink,"('72.8756711', '19.2008115')",2023
Asalpha at Sakinaka junction,"('72.8300971', '19.0782212')",2023
B D Road near Mahalaxmi temple,"('72.88662753964906', '19.08157715')",2023
Saki Naka,"('72.88662753964906', '19.08157715')",2023
Sangharsh Nagar,"('72.88662753964906', '19.08157715')",2023
L&T bridge at Powai,"('72.88662753964906', '19.08157715')",2023
Saki Vihar road,"('72.8271278', '19.0876158')",2023
Pune,"('72.88662753964906', '19.08157715')","2023, 2021, 2020, 2019"
Bhiwandi,"('72.88662753964906', '19.08157715')","2023, 2019, 2018, 2016"
Kalyan,"('72.88662753964906', '19.08157715')","2023, 2019, 2016"
Ulhasnagar,"('72.8132568', '19.1316565')","2023, 2019, 2016"
Dombivli,"('72.82500018108405', '19.2020043')","2023, 2019, 2016"
Wada taluka,"('72.88662753964906', '19.08157715')",2023
Mumbai city and suburbs,"('72.88662753964906', '19.08157715')","2023, 2020, 2018, 2015"
Navi Mumbai,"('72.8247609', '19.0631323')","2023, 2020, 2019, 2017, 2015"
Andheri subway,"('72.88662753964906', '19.08157715')",2022
Kamani junction in Kurla,"('72.82810491917377', '18.9733536')",2022
Mankhurd railway bridge,"('72.82810491917377', '18.9733536')",2022
