month_year,classification,year
4-2023,Major Flooding,2023
5-2023,Major Flooding,2023
10-2023,Major Flooding,2023
7-2023,Major Flooding,2023
6-2023,Major Flooding,2023
9-2022,Major Flooding,2022
6-2022,Moderate Flooding,2022
12-2022,Moderate Flooding,2022
4-2022,Moderate Flooding,2022
8-2022,Moderate Flooding,2022
11-2021,Major Flooding,2021
8-2021,Major Flooding,2021
6-2020,Moderate Flooding,2020
10-2020,Major Flooding,2020
8-2020,Major Flooding,2020
9-2020,Major Flooding,2020
8-2019,Major Flooding,2019
11-2019,Major Flooding,2019
10-2019,Major Flooding,2019
5-2018,Major Flooding,2018
10-2017,Major Flooding,2017
9-2017,Major Flooding,2017
8-2017,Moderate Flooding,2017
12-2016,Major Flooding,2016
7-2016,Moderate Flooding,2016
8-2014,Minor Flooding,2014
10-2014,Minor Flooding,2014
9-2013,Moderate Flooding,2013
