month_year,classification,year
12-2023,Major Flooding,2023
11-2023,Major Flooding,2023
12-2019,Moderate Flooding,2019
12-2021,Major Flooding,2021
11-2015,Major Flooding,2015
11-2022,Major Flooding,2022
12-2022,Moderate Flooding,2022
2-2022,Major Flooding,2022
4-2022,Major Flooding,2022
6-2022,Major Flooding,2022
11-2021,Major Flooding,2021
10-2021,Major Flooding,2021
11-2020,Major Flooding,2020
10-2020,Major Flooding,2020
12-2020,Moderate Flooding,2020
8-2019,Major Flooding,2019
7-2019,Major Flooding,2019
10-2019,Minor Flooding,2019
7-2018,Major Flooding,2018
8-2018,Major Flooding,2018
10-2018,Major Flooding,2018
12-2017,Major Flooding,2017
11-2017,Major Flooding,2017
5-2017,Major Flooding,2017
10-2017,Major Flooding,2017
3-2020,Major Flooding,2020
1-2016,Major Flooding,2016
2-2016,Major Flooding,2016
3-2016,Major Flooding,2016
12-2016,Major Flooding,2016
4-2016,Minor Flooding,2016
12-2015,Major Flooding,2015
10-2014,Major Flooding,2014
6-2014,Moderate Flooding,2014
