month_year,classification,year
7-2023,Major Flooding,2023
6-2023,Moderate Flooding,2023
9-2023,Major Flooding,2023
7-2022,Major Flooding,2022
3-2022,Major Flooding,2022
4-2022,Major Flooding,2022
8-2022,Minor Flooding,2022
7-2021,Major Flooding,2021
2-2021,Major Flooding,2021
4-2021,Moderate Flooding,2021
9-2021,Major Flooding,2021
8-2020,Major Flooding,2020
9-2020,Major Flooding,2020
2-2020,Major Flooding,2020
10-2020,Major Flooding,2020
7-2020,Major Flooding,2020
6-2020,Major Flooding,2020
7-2019,Major Flooding,2019
9-2019,Major Flooding,2019
8-2019,Major Flooding,2019
12-2019,Major Flooding,2019
6-2019,Moderate Flooding,2019
6-2018,Major Flooding,2018
7-2018,Major Flooding,2018
12-2018,Major Flooding,2018
8-2017,Major Flooding,2017
9-2017,Major Flooding,2017
1-2017,Major Flooding,2017
7-2017,Moderate Flooding,2017
6-2017,Major Flooding,2017
3-2016,Major Flooding,2016
8-2016,Major Flooding,2016
7-2016,Major Flooding,2016
9-2016,Major Flooding,2016
12-2015,Major Flooding,2015
7-2015,Moderate Flooding,2015
6-2014,Major Flooding,2014
12-2013,Major Flooding,2013
6-2013,Major Flooding,2013
